0.01518;715.9
0.01573;682.2
0.01694;635.1
0.01936;545.1
0.0205;516.4
0.02285;463
0.02505;418.6
0.02834;366.4
0.02805;365.3
0.03299;312.7
0.03486;301.7
0.03912;273.7
0.04355;247.5
0.04769;227
0.05236;206.5
0.05707;192.8
0.06318;179
0.06883;166.2
0.07519;154.3
0.08231;143.1
0.09009;132.7
0.09871;123.1
0.1082;114.3
0.1185;106.3
0.13;99.02
0.1425;92.7
0.1562;86.93
0.1712;81.83
0.1877;77.21
0.2057;72.95
0.2254;69.06
0.2471;65.49
0.2707;62.12
0.2971;59.08
0.3257;56.53
0.357;54.06
0.3912;51.7
0.4288;49.65
0.47;47.81
0.515;46.18
0.5646;44.9
0.6191;43.78
0.6791;42.65
0.7443;41.19
0.8157;39.5
0.894;37.86
0.9799;36.53
1.074;35.39
1.178;34.26
1.291;33.14
1.415;31.98
1.551;30.61
1.701;29.28
1.864;28.21
2.043;27.53
2.24;27.18
2.455;26.76
2.691;26.15
2.949;25.49
3.233;25.4
3.543;25.62
3.884;25.17
4.256;24.15
4.665;23.29
5.113;22.81
5.604;22.15
6.142;20.72
6.732;18.77
7.379;16.88
8.088;15.52
8.864;14.49
9.72;13.04
10.65;11.74
11.67;11.11
12.79;10.64
14.02;9.98
15.37;9.322
16.84;8.667
18.46;8.002
20.23;7.422
22.18;6.918
24.31;6.429
26.64;5.968
29.2;5.541
32;5.146
35.08;4.78
38.44;4.437
42.14;4.111
46.18;3.805
50.62;3.523
55.48;3.269
60.81;3.038
66.64;2.826
73.05;2.632
80.06;2.453
87.75;2.286
96.18;2.132
105.4;1.986
115.5;1.847
126.6;1.718
138.8;1.602
152.1;1.499
166.7;1.401
182.7;1.307
200.3;1.22
219.5;1.14
240.6;1.066
263.7;0.9971
289;0.9328
316.8;0.8726
347.2;0.8176
380.6;0.7667
417.1;0.7193
457.2;0.6756
